price,location_id_real_consumer,location_id_aggregated_consumer,year,is_real
100.0,33,,2015 ,true
100.0,34,,2015 ,true
100.0,35,,2015 ,true
100.0,36,,2015 ,true
,37,,2015 ,true
101.51,0,,2016 ,true
100.97,1,,2016 ,true
101.77,2,,2016 ,true
98.68,3,,2016 ,true
99.47,4,,2016 ,true
98.78,5,,2016 ,true
100.7,6,,2016 ,true
100.4,7,,2016 ,true
100.0,8,,2016 ,true
100.23,,0,2016 ,false
100.23,,1,2016 ,false
100.8,9,,2016 ,true
100.02,10,,2016 ,true
99.66,11,,2016 ,true
100.18,,2,2016 ,false
100.39,12,,2016 ,true
100.31,13,,2016 ,true
99.37,14,,2016 ,true
100.45,15,,2016 ,true
99.8,16,,2016 ,true
100.79,17,,2016 ,true
99.9,18,,2016 ,true
100.68,19,,2016 ,true
100.04,20,,2016 ,true
100.1,21,,2016 ,true
99.93,22,,2016 ,true
100.24,23,,2016 ,true
100.9,24,,2016 ,true
100.11,25,,2016 ,true
103.9,26,,2016 ,true
99.8,27,,2016 ,true
100.64,28,,2016 ,true
98.93,29,,2016 ,true
101.3,30,,2016 ,true
101.14,31,,2016 ,true
99.85,32,,2016 ,true
99.52,33,,2016 ,true
107.66,34,,2016 ,true
100.7,35,,2016 ,true
100.57,36,,2016 ,true
100.27,37,,2016 ,true
104.76,0,,2017 ,true
103.22,1,,2017 ,true
104.03,2,,2017 ,true
99.85,3,,2017 ,true
100.11,4,,2017 ,true
99.45,5,,2017 ,true
103.1,6,,2017 ,true
102.1,7,,2017 ,true
101.1,8,,2017 ,true
101.78,,0,2017 ,false
101.77,,1,2017 ,false
104.48,9,,2017 ,true
101.15,10,,2017 ,true
101.69,11,,2017 ,true
101.74,,2,2017 ,false
101.23,12,,2017 ,true
101.47,13,,2017 ,true
100.67,14,,2017 ,true
102.84,15,,2017 ,true
100.1,16,,2017 ,true
99.13,17,,2017 ,true
101.3,18,,2017 ,true
104.42,19,,2017 ,true
102.15,20,,2017 ,true
103.0,21,,2017 ,true
102.68,22,,2017 ,true
