indic,unit,geo\time	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 	2022Q3 	2022Q4 
TOTAL,PCH_Q1_NSA,CY	2.5 	0.3 	-4.8 	4.7 	-5.7 	1.4 	2.5 	-3.1 	0.5 	2.3 	5.8 	-4.0 
TOTAL,PCH_Q1_NSA,CZ	1.8 	1.7 	2.6 	2.6 	5.9 	5.2 	6.9 	5.7 	4.7 	3.4 	1.0 	-2.2 
TOTAL,PCH_Q1_NSA,DE	0.8 	1.8 	3.0 	2.9 	1.4 	3.8 	4.2 	2.7 	0.4 p	2.1 p	-1.0 p	-5.0 p
TOTAL,PCH_Q1_NSA,DK	1.7 	1.7 	4.9 	2.2 	4.7 	2.9 	1.1 	-2.0 	2.2 	1.3 	-3.5 	-6.5 p
TOTAL,PCH_Q1_NSA,EA	1.1 	1.6 	1.3 	1.4 	1.4 	2.7 	3.2 	1.9 	1.6 	2.2 	0.8 	-1.7 
TOTAL,PCH_Q1_NSA,EA19	1.1 	1.6 	1.3 	1.4 	1.4 	2.7 	3.2 	1.9 	1.6 	2.2 	0.8 	-1.7 
TOTAL,PCH_Q1_NSA,EA20	1.1 	1.6 	1.3 	1.4 	1.4 	2.7 	3.2 	1.9 	1.6 	2.2 	0.8 	-1.7 
TOTAL,PCH_Q1_NSA,EE	4.8 	-5.8 	2.3 	3.8 	6.6 	2.6 	3.4 	6.6 	7.1 	8.0 	0.8 	0.2 
TOTAL,PCH_Q1_NSA,ES	1.2 	0.0 	1.2 	-0.8 	0.4 	2.4 	2.1 	1.2 	2.6 	1.9 	1.7 	-0.8 
TOTAL,PCH_Q1_NSA,EU	1.4 	1.5 	1.4 	1.4 	1.8 	2.8 	3.1 	2.1 	2.0 	2.3 	0.7 	-1.5 
TOTAL,PCH_Q1_NSA,EU27_2020	1.4 	1.5 	1.4 	1.4 	1.8 	2.8 	3.1 	2.1 	2.0 	2.3 	0.7 	-1.5 
TOTAL,PCH_Q1_NSA,FI	1.0 	1.0 	0.4 	1.1 	1.5 	2.4 	-0.2 	0.2 	1.0 	1.4 	-1.2 	-3.4 p
TOTAL,PCH_Q1_NSA,FR	1.0 	1.4 	2.0 	1.2 	0.7 	1.6 	3.3 	1.1 	0.8 	1.7 	2.7 p	-0.5 p
TOTAL,PCH_Q1_NSA,HR	2.7 	1.8 	-0.6 	2.5 	0.9 	3.6 	1.7 	2.5 	5.0 	3.7 	2.8 	4.7 
TOTAL,PCH_Q1_NSA,HU	4.0 	-2.1 	3.8 	-1.4 	9.4 	4.3 	3.7 	3.7 	9.8 p	5.7 p	2.4 p	-2.0 p
