s_adj,nace_r2,sizeclas,indic_em,geo\time	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 	2022Q3 	2022Q4 
NSA,B-S,TOTAL,JOBVAC,IE	14700 	13700 	16100 	16800 	17800 	24200 	31100 	29400 	33200 	34300 	33600 	27600 p
NSA,B-S,TOTAL,JOBVAC,IS	2820 	2480 	2910 	2760 	4200 	8730 	8400 	5280 	7360 	12510 	8790 	5980 
NSA,B-S,TOTAL,JOBVAC,IT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
NSA,B-S,TOTAL,JOBVAC,LT	14816 	17057 	18178 	15531 	20825 	24597 	26505 	24218 	26749 	26593 	26051 	22622 
NSA,B-S,TOTAL,JOBVAC,LU	7836 	6037 	6689 	6574 	7231 	8755 	9877 	10296 	11043 	12865 	13018 	11861 
NSA,B-S,TOTAL,JOBVAC,LV	18537 	20712 	20639 	17079 	21477 	25443 	23373 	26648 	27878 	26044 	25842 	22252 
NSA,B-S,TOTAL,JOBVAC,MK	9075 	6866 	8364 	7916 	7878 	8977 	8595 	7979 	8729 	7873 	10217 	9699 
NSA,B-S,TOTAL,JOBVAC,MT	3507 p	3643 p	4802 p	4226 p	3454 p	5937 p	6423 p	5635 p	6541 b	6730 p	6819 p	6067 p
NSA,B-S,TOTAL,JOBVAC,NL	219400 	198100 	213200 	211800 	246100 	330800 	373200 	373600 	444200 	475900 	448800 	416100 
NSA,B-S,TOTAL,JOBVAC,NO	70978 	59585 	59096 	59660 	74064 	100309 	88443 	85758 	103699 	117298 	95073 	107634 
NSA,B-S,TOTAL,JOBVAC,PL	76131 	80976 	90674 	83978 	109466 	142213 	152798 	136877 	157933 	148736 	135083 	115252 
NSA,B-S,TOTAL,JOBVAC,PT	19856 	23797 	24607 	24132 	27746 	35462 	42823 	36543 	48885 	51382 	61626 	54933 
NSA,B-S,TOTAL,JOBVAC,RO	41304 	33745 	38822 	35102 	37951 	39042 	46676 	45116 	46656 	45399 	44832 	41495 
NSA,B-S,TOTAL,JOBVAC,SE	130441 	85570 	66652 	74763 	112296 	131104 	109896 	126395 	183502 	190691 	142553 	133099 
NSA,B-S,TOTAL,JOBVAC,SI	18092 	10853 	13767 	11479 	17250 	21805 	22918 	20492 	25826 	27230 	25451 	20603 
NSA,B-S,TOTAL,JOBVAC,SK	18106 	15581 	15893 	14107 	15546 	17614 	17931 	18175 	21352 	20168 	21111 	18830 
NSA,B-S,TOTAL,JOBVAC,UK	770000 	346000 	498000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
